service_id,date,exception_type
IntLMMVScp,20230606,1
IntLMMVScp,20230607,1
IntLMMVScp,20230918,1
IntLMMVScp,20230919,1
IntLMMVScp,20230920,1
IntLMMVScp,20230922,1
IntLMMVScp,20230923,1
IntLMMVScp,20230925,1
IntLMMVScp,20230926,1
IntLMMVScp,20230927,1
IntLMMVScp,20230929,1
IntLMMVScp,20230930,1
IntLMMVScp,20231002,1
IntLMMVScp,20231003,1
IntLMMVScp,20231004,1
IntLMMVScp,20231006,1
IntLMMVScp,20231007,1
IntLMMVScp,20231009,1
IntLMMVScp,20231010,1
IntLMMVScp,20231011,1
IntLMMVScp,20231013,1
IntLMMVScp,20231014,1
IntLMMVScp,20231016,1
IntLMMVScp,20231017,1
IntLMMVScp,20231018,1
IntLMMVScp,20231020,1
IntLMMVScp,20231021,1
IntLMMVScp,20231023,1
IntLMMVScp,20231024,1
IntLMMVScp,20231025,1
IntLMMVScp,20231027,1
IntLMMVScp,20231028,1
IntLMMVScp,20231030,1
IntLMMVScp,20231031,1
IntLMMVScp,20231103,1
IntLMMVScp,20231104,1
IntLMMVScp,20231106,1
IntLMMVScp,20231107,1
IntLMMVScp,20231108,1
IntLMMVScp,20231110,1
IntLMMVScp,20231111,1
IntLMMVScp,20231113,1
IntLMMVScp,20231114,1
IntLMMVScp,20231115,1
IntLMMVScp,20231117,1
IntLMMVScp,20231118,1
IntLMMVScp,20231120,1
IntLMMVScp,20231121,1
IntLMMVScp,20231122,1
IntLMMVScp,20231124,1
IntLMMVScp,20231125,1
IntLMMVScp,20231127,1
IntLMMVScp,20231128,1
IntLMMVScp,20231129,1
IntLMMVScp,20231201,1
IntLMMVScp,20231202,1
IntLMMVScp,20231204,1
IntLMMVScp,20231205,1
IntLMMVScp,20231206,1
IntLMMVScp,20231209,1
IntLMMVScp,20231211,1
IntLMMVScp,20231212,1
IntLMMVScp,20231213,1
IntLMMVScp,20231215,1
IntLMMVScp,20231216,1
IntLMMVScp,20231218,1
IntLMMVScp,20231219,1
IntLMMVScp,20231220,1
IntLMMVScp,20231222,1
IntLMMVScp,20231223,1
IntLMMVScp,20231227,1
IntLMMVScp,20231229,1
IntLMMVScp,20231230,1
IntLMMVcp,20230407,1
IntLMMVcp,20230411,1
IntLMMVcp,20230412,1
IntLMMVcp,20230414,1
IntLMMVcp,20230417,1
IntLMMVcp,20230418,1
IntLMMVcp,20230419,1
IntLMMVcp,20230421,1
IntLMMVcp,20230424,1
IntLMMVcp,20230426,1
IntLMMVcp,20230428,1
IntLMMVcp,20230502,1
