service_id,day,exception_type
IntLMMVcp,2023-10-13,1
IntLMMVcp,2023-10-16,1
IntLMMVcp,2023-10-17,1
IntLMMVcp,2023-10-18,1
IntLMMVcp,2023-10-20,1
IntLMMVcp,2023-10-23,1
IntLMMVcp,2023-10-24,1
IntLMMVcp,2023-10-25,1
IntLMMVcp,2023-10-27,1
IntLMMVcp,2023-10-30,1
IntLMMVcp,2023-10-31,1
IntLMMVcp,2023-11-03,1
IntLMMVcp,2023-11-06,1
IntLMMVcp,2023-11-07,1
IntLMMVcp,2023-11-08,1
IntLMMVcp,2023-11-10,1
IntLMMVcp,2023-11-13,1
IntLMMVcp,2023-11-14,1
IntLMMVcp,2023-11-15,1
IntLMMVcp,2023-11-17,1
IntLMMVcp,2023-11-20,1
IntLMMVcp,2023-11-21,1
IntLMMVcp,2023-11-22,1
IntLMMVcp,2023-11-24,1
IntLMMVcp,2023-11-27,1
IntLMMVcp,2023-11-28,1
IntLMMVcp,2023-11-29,1
IntLMMVcp,2023-12-01,1
IntLMMVcp,2023-12-04,1
IntLMMVcp,2023-12-05,1
IntLMMVcp,2023-12-06,1
IntLMMVcp,2023-12-11,1
IntLMMVcp,2023-12-12,1
IntLMMVcp,2023-12-13,1
IntLMMVcp,2023-12-15,1
IntLMMVcp,2023-12-18,1
IntLMMVcp,2023-12-19,1
IntLMMVcp,2023-12-20,1
IntLMMVcp,2023-12-22,1
IntLMMVcp,2023-12-27,1
IntLMMVcp,2023-12-29,1
IntSurbCP,2023-04-08,1
IntSurbCP,2023-04-15,1
IntSurbCP,2023-04-22,1
IntSurbCP,2023-04-29,1
IntSurbCP,2023-05-06,1
IntSurbCP,2023-05-13,1
IntSurbCP,2023-05-20,1
IntSurbCP,2023-05-27,1
IntSurbCP,2023-06-03,1
IntSurbCP,2023-09-23,1
IntSurbCP,2023-09-30,1
IntSurbCP,2023-10-07,1
IntSurbCP,2023-10-14,1
IntSurbCP,2023-10-21,1
IntSurbCP,2023-10-28,1
IntSurbCP,2023-11-04,1
IntSurbCP,2023-11-11,1
IntSurbCP,2023-11-18,1
IntSurbCP,2023-11-25,1
IntSurbCP,2023-12-02,1
IntSurbCP,2023-12-09,1
IntSurbCP,2023-12-16,1
IntSurbCP,2023-12-23,1
IntSurbCP,2023-12-30,1
MISTO_NScolL-S,2023-04-06,1
MISTO_NScolL-S,2023-04-07,1
MISTO_NScolL-S,2023-04-08,1
MISTO_NScolL-S,2023-04-11,1
MISTO_NScolL-S,2023-06-08,1
MISTO_NScolL-S,2023-06-09,1
MISTO_NScolL-S,2023-06-10,1
MISTO_NScolL-S,2023-06-12,1
MISTO_NScolL-S,2023-06-13,1
MISTO_NScolL-S,2023-06-14,1
MISTO_NScolL-S,2023-06-15,1
MISTO_NScolL-S,2023-06-16,1
MISTO_NScolL-S,2023-06-17,1
MISTO_NScolL-S,2023-06-19,1
MISTO_NScolL-S,2023-06-20,1
MISTO_NScolL-S,2023-06-21,1
MISTO_NScolL-S,2023-06-22,1
MISTO_NScolL-S,2023-06-23,1
MISTO_NScolL-S,2023-06-24,1
MISTO_NScolL-S,2023-06-26,1
MISTO_NScolL-S,2023-06-27,1
MISTO_NScolL-S,2023-06-28,1
MISTO_NScolL-S,2023-06-29,1
MISTO_NScolL-S,2023-06-30,1
MISTO_NScolL-S,2023-07-01,1
MISTO_NScolL-S,2023-07-03,1
MISTO_NScolL-S,2023-07-04,1
MISTO_NScolL-S,2023-07-05,1
MISTO_NScolL-S,2023-07-06,1
MISTO_NScolL-S,2023-07-07,1
MISTO_NScolL-S,2023-07-08,1
MISTO_NScolL-S,2023-07-10,1
MISTO_NScolL-S,2023-07-11,1
MISTO_NScolL-S,2023-07-12,1
MISTO_NScolL-S,2023-07-13,1
MISTO_NScolL-S,2023-07-14,1
MISTO_NScolL-S,2023-07-15,1
MISTO_NScolL-S,2023-07-17,1
MISTO_NScolL-S,2023-07-18,1
MISTO_NScolL-S,2023-07-19,1
MISTO_NScolL-S,2023-07-20,1
MISTO_NScolL-S,2023-07-21,1
MISTO_NScolL-S,2023-07-22,1
MISTO_NScolL-S,2023-07-24,1
MISTO_NScolL-S,2023-07-25,1
MISTO_NScolL-S,2023-07-26,1
