stop_id,stop_name,stop_lat,stop_lon
2766,Salda,44.36014712372932,10.933580644116876
2764,Ponte,44.356468674939499,10.923232964195567
2760,Samone,44.365284545098845,10.948596271138793
2596,Caduti in guerra orto botanico,44.647822473862881,10.933772213194704
2595,Tagliazucchi,44.645960507911084,10.934744379612182
2594,Ospedale Estense,44.648368829697901,10.920069715109845
2593,Vittorio Veneto bv Trombi,44.645858124860979,10.920012081465355
2592,Rimembranze bv Canalchiaro,44.642811031792881,10.921336434759555
2591,Rimembranze bv Selmi,44.642121542080261,10.923255539450738
2590,Prefettura,44.642378308036612,10.929379681469088
2589,Caduti in guerra,44.646365048499668,10.932651884220336
2587,Caduti in guerra Tempio,44.651697277413533,10.933018202227856
2746,Ginevra,44.365557586569359,10.969413215831974
2744,Giostra,44.360046801513086,10.972604164461456
2742,Derna,44.35743884003395,10.978163347832849
2740,Monteombraro bv,44.355801563146521,10.982763516883377
2730,Zocchetta,44.363103612227761,10.986862573464792
272,Mulino Cortile,44.803550807763443,10.973375598770868
2714,Campo Sportivo,44.373999558769349,11.005255465524666
2710,Baggiovara FP,44.603467179072858,10.874409866604465
270,Cortile,44.794837774495996,10.968097253896467
2694,Braglie 518,44.370736945112199,10.988990836319479
2692,Braglie 1265,44.376025287893818,10.986709673474314
2690,Montecorone,44.375433891048395,10.982924039626942
2688,Acqua Sulfurea bv,44.372824526819372,10.979208558645817
2686,Casa Paderno,44.374157934030222,10.974471239765698
2680,Montecorone bv,44.373828611979256,10.964858073313803
268,San Pellegrino Cortile,44.788946118476147,10.963636765572476
2672,Casa Sassi,44.382672204714318,10.970439045517816
2670,Rocca Malatina,44.387700033339371,10.966012747269982
2668,Tagliata,44.40599064030372,10.959379175225948
2666,Monte Cresce,44.409325780222723,10.959138896659606
2665,Monteorsello,44.410474822367256,10.966662793969215
2664,Oratorio,44.414107340242879,10.964837720892698
2662,Braglia,44.415269101278987,10.956950877317714
2602,Montese Torre,44.268645085084586,10.947692348583962
2601,Montese Mulino,44.268746750389077,10.943310433230838
2600,Montese,44.268822660733008,10.939904946425241
260,Griduzza scuole,44.792137999559479,10.949155937937544
2560,Sant'Antonio,44.370026402191165,10.835192452154804
256,Cortile Calanca,44.788798824560438,10.977385690161288
2552,Il Ronco,44.363841833303503,10.837408830540946
2550,Acquabona,44.35693655572959,10.841885974116583
916,Salvarola bv,44.52299038028373,10.766185601327045
915,Varana bv,44.525408258287143,10.769920721272937
913,Varana bv,44.526333582016981,10.771207202381639
911,Ponte Alto Nuovo,44.522098181876515,10.774954585577431
909,Ponte Nuovo,44.529120012176179,10.773808697816662
908,Montanara,44.533201935322012,10.777041382073941
125,Fanti FS,44.656017679815484,10.929869904331822
1754,La Busa,44.578121361105261,10.973466331392972
1748,San Vito chiesa,44.556485329889028,10.977279983959887
1746,Spinara,44.547721286378213,10.995136652184554
1744,Casa Toschi,44.544455905481449,11.002704002658417
1742,Spilamberto zona artigianale,44.541773177858254,11.008339456556229
1249,Casa Badoglio,44.373402613832653,10.667908384224996
1248,Case Popolari,44.376223200387642,10.674490571245563
1247,Lama di Monchio,44.378937101139321,10.670525904908018
1246,Mulino Lama,44.382769605056481,10.670710238588939
1245,San Martino bv,44.385527720627849,10.6698722424943
1243,Casa Sistoni,44.385857105775884,10.66086756314893
1242,Monchio,44.384512039002146,10.649317415986697
1241,Casa Ponci,44.387108279338214,10.645335184469808
124,Bisighini bv,44.829048696722253,11.002114326598981
1239,Sant'Anna,44.59824641789367,11.017504386809689
